model,accuracy,f1_weighted,f1_macro
RandomForest,0.8534725675451682,0.8531428621579437,0.8032089812627635
DecisionTree,0.815680424332836,0.81547419647793,0.7530077792268841
GaussianNB,0.8093817337974474,0.7943047990494368,0.7078123078529903
KNN_Classifier,0.7800430963036632,0.7910337300845443,0.7392598113873613
LogisticRegression,0.7795458312613956,0.7903529814411162,0.7378932732770558
